Kode Artikel,Nama Artikel,Tier,QTY WHS DDD,QTY WHS LJBB,QTY WHS MBB,TOTAL WHS,RO BOX DDD,RO BOX LJBB,RO BOX MBB,TOTAL RO,READY STOCK
M1CA01,"MEN CLASSIC 1, JET BLACK",1,0,0,0,0,0,0,,0,0
M1ON01,"MEN ONYX 1, BLACK BLACK",2,0,0,0,0,0,0,,0,0
M1ON04,"MEN ONYX 4, BLACK GREY",1,0,0,0,0,0,0,,0,0
M1SP01,"MEN STRIPE 1, BLACK BLUE RED",1,0,0,0,0,0,0,,0,0
M1SP07,"MEN STRIPE 7, BLACK TAN WHITE",1,0,0,0,0,0,0,,0,0
L1EA11,"LADIES ELSA 11, GINGERSNAP",1,0,0,0,0,0,0,,0,0
L1EA06,"LADIES ELSA 6, JET BLACK",1,0,0,0,0,0,0,,0,0
M1CA23,"MEN CLASSIC 23, NAVY BLACK",1,0,0,0,0,0,0,,0,0
M1CA27,"MEN CLASSIC 27, GREY GREY",2,0,0,0,0,0,0,,0,0
L1CA01,"LADIES CLASSIC 1, JET BLACK",1,0,0,0,0,0,0,,0,0
L1CM01,"LADIES CLASSIC METALIC 1, BLACK0GOLD",2,0,0,0,0,0,0,,0,0
L1CA22,"LADIES CLASSIC 22, NAVY NAVY",1,0,0,0,0,0,0,,0,0
L1CM02,"LADIES CLASSIC METALIC 2, BLEACH SAND",1,0,0,0,0,0,0,,0,0
M1BL03,"MEN BLACK SERIES 3, COSMIC GREY",1,0,0,0,0,0,0,,0,0
L1EA10,"LADIES ELSA 10, SILVER NAVY",1,0,0,0,0,0,0,,0,0
L1FL01,"LADIES FLO 1, BLACK",1,0,0,0,0,0,0,,0,0
L1FL03,"LADIES FLO 3, LIGHT BROWN",1,0,0,0,0,0,0,,0,0
M1DL01,MEN DALLAS 1 JET BLACK,1,0,0,0,0,0,0,,0,0
L1CA23,LADIES CLASSIC 23 NAVY GREY,2,0,0,0,0,0,0,,0,0
L1CM04,LADIES CLASSIC METALIC 4 GINGER SNAP,1,0,0,0,0,0,0,,0,0
M1CA31,"MEN CLASSIC 31, BLACK TURQUOISE",1,0,0,0,0,0,0,,0,0
M1SL11,"MEN SLIDE BASIC 11, BLACK",1,0,0,0,0,0,0,,0,0
M1CA24,"MEN CLASSIC 24, NAVY GREY",2,0,0,0,0,0,0,,0,0
M1ON05,"MEN ONYX 5, TURQUOISE BLACK",1,0,0,0,0,0,0,,0,0
L1FL05,"LADIES FLO 5, WHITE",4,0,0,0,0,0,0,,0,0
L1FL06,"LADIES FLO 6, ROSE",4,0,0,0,0,0,0,,0,0
L1CA25,LADIES CLASSIC 25 DRAK GREY,2,0,0,0,0,0,0,,0,0
L1CP01,LADIES CLASSIC PASTEL 1 HAZELNUT,4,0,0,0,0,0,0,,0,0
Z1MF01,BABY GIRLS COLLAB 1 DISNEY MICKEY & FRIENDS PINK,2,0,0,0,0,0,0,,0,0
M1SP08,"MEN STRIPE 8, TWILIGHT RED WHITE",1,0,0,0,0,0,0,,0,0
M1SP11,"MEN STRIPE 11, GRAY LIME",1,0,0,0,0,0,0,,0,0
M1SP10,"MEN STRIPE 10, ALMOND BLACK",1,0,0,0,0,0,0,,0,0
L1CA29,LADIES CLASSIC 29 NAVY HOTPINK,1,0,0,0,0,0,0,,0,0
M1ON02,"MEN ONYX 2, NAVY BLACK",1,0,0,0,0,0,0,,0,0
M1ON03,"MEN ONYX 3, NAVY NAVY",1,0,0,0,0,0,0,,0,0
