Store Name,Article Mix,Gender,Series,Article,Tier,Total Recommendation,Recommendation (box),kode kecil,ASSRT STATUS,BROKEN SIZE
Zuma Matos,M1AMVMV102,MEN,AIRMOVE,"MEN AIRMOVE 2, INDIGO TAN",8,13,1,M1AMV102,FULL,
Zuma Matos,M1AMVMV103,MEN,AIRMOVE,"MEN AIRMOVE 3, DEEP GREEN",8,13,1,M1AMV103,FULL,
Zuma Matos,M1AMVMV101,MEN,AIRMOVE,"MEN AIRMOVE 1, BLACK",8,12,1,M1AMV101,FULL,
Zuma Matos,M1BLVLV212,MEN,BLACKSERIES,"MEN BLACK SERIES 12, BROWN STONE",2,22,2,M1BLV212,FULL,
Zuma Matos,M1BLVLV214,MEN,BLACKSERIES,"MEN BLACK SERIES 14, BONE WHITE",1,-3,0,M1BLV214,BROKEN,"39, 41, 43"
Zuma Matos,M1BLVLV211,MEN,BLACKSERIES,"MEN BLACK SERIES 11, FOREST BIOME",2,3,0,M1BLV211,BROKEN,"39, 40, 41, 42, 43, 44"
Zuma Matos,M1BL0LV209,MEN,BLACKSERIES,"MEN BLACK SERIES 9, ARMY",1,11,1,M1BLV209,BROKEN,39
Zuma Matos,MBLACLV204,MEN,BLACKSERIES,"MEN BLACK SERIES 4, LIGHT OLIVE",2,-5,0,M1BLV204,BROKEN,"39, 41, 43"
Zuma Matos,M1BL1LV210,MEN,BLACKSERIES,"MEN BLACK SERIES 10, TERRACOTTA",2,-7,-1,M1BLV210,FULL,
Zuma Matos,MBLACLV203,MEN,BLACKSERIES,"MEN BLACK SERIES 3, COSMIC GREY",1,8,1,M1BLV203,FULL,
Zuma Matos,MBLACLV206,MEN,BLACKSERIES,"MEN BLACK SERIES 6, STONE BLUE",1,14,1,M1BLV206,BROKEN,44
Zuma Matos,M1BLVLV113,MEN,BLACKSERIES,"MEN BLACK SERIES 13, LEGION BLUE",3,0,0,M1BLV113,BROKEN,"39, 40, 41, 42, 43, 44"
Zuma Matos,MBLACLV205,MEN,BLACKSERIES,"MEN BLACK SERIES 5, PEANUT",1,7,1,M1BLV205,BROKEN,40
Zuma Matos,M1BL0LV208,MEN,BLACKSERIES,"MEN BLACK SERIES 8, NAVY",1,-14,-1,M1BLV208,FULL,
Zuma Matos,M1CA2AV224,MEN,CLASSIC,"MEN CLASSIC 24, NAVY GREY",1,21,2,M1CAV124,BROKEN,"43, 44"
Zuma Matos,M1CA3AV232,MEN,CLASSIC,"MEN CLASSIC 32, BLACK STONE",1,5,0,M1CAV232,BROKEN,"41, 43"
Zuma Matos,SJ1ACAV201,MEN,CLASSIC,"MEN CLASSIC 1, JET BLACK",1,23,2,M1CAV201,BROKEN,39
Zuma Matos,M1CA2AV227,MEN,CLASSIC,"MEN CLASSIC 27, GREY GREY",1,1,0,M1CAV227,BROKEN,"39, 40, 41, 43"
Zuma Matos,M1CA2AV223,MEN,CLASSIC,"MEN CLASSIC 23, NAVY BLACK",1,-11,-1,M1CAV223,FULL,
Zuma Matos,M1CA3AV230,MEN,CLASSIC,"MEN CLASSIC 30, BROWN BLACK",3,0,0,M1CAV230,BROKEN,"39, 40, 41, 42, 43, 44"
Zuma Matos,M1CA3AV231,MEN,CLASSIC,"MEN CLASSIC 31, BLACK TURQUOISE",2,-7,-1,M1CAV231,BROKEN,"40, 43"
Zuma Matos,M1CA3AV233,MEN,CLASSICEARTH,"MEN CLASSIC EARTH 33, MOCHA",3,-8,-1,M1CAV233,BROKEN,"39, 40"
Zuma Matos,M1CA3AV236,MEN,CLASSICEARTH,"MEN CLASSIC EARTH 36, OLIVE",2,0,0,M1CAV236,BROKEN,"39, 40, 41, 42, 43, 44"
Zuma Matos,M1COVOV101,MEN,CLOUD,"MEN CLOUD 1, BLACK",4,1,0,M1COV101,BROKEN,"40, 41, 42, 43"
Zuma Matos,M1COVOV105,MEN,CLOUD,"MEN CLOUD 5, BLACK GREY",4,1,0,M1COV105,BROKEN,"40, 41, 42, 43"
Zuma Matos,M1COVOV102,MEN,CLOUD,"MEN CLOUD 2, NAVY",4,0,0,M1COV102,BROKEN,"40, 41, 42, 43"
