"No,Kode Artikel,Nama Artikel,Tier,QTY BOX DDD,QTY BOX LJBB,QTY BOX MBB,TOTAL,QTY PAIRS,Tier Luxodev,Status,Wilbex 2026,accurate,%,31%,10%,8%,0%,0%,51%,100%,0%,100%"
"1,M1CA01,""MEN CLASSIC 1, JET BLACK"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"2,M1ON01,""MEN ONYX 1, BLACK BLACK"",2,0,0,0,0,0,4,,,,,,,,,,,,,"
"3,M1ON04,""MEN ONYX 4, BLACK GREY"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"4,M1SP01,""MEN STRIPE 1, BLACK BLUE RED"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"5,M1SP07,""MEN STRIPE 7, BLACK TAN WHITE"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"6,L1EA11,""LADIES ELSA 11, GINGERSNAP"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"7,L1EA06,""LADIES ELSA 6, JET BLACK"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"8,M1CA23,""MEN CLASSIC 23, NAVY BLACK"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"9,M1CA27,""MEN CLASSIC 27, GREY GREY"",2,0,0,0,0,0,4,,,,,,,,,,,,,"
"10,L1CA01,""LADIES CLASSIC 1, JET BLACK"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"11,L1CM01,""LADIES CLASSIC METALIC 1, BLACK0GOLD"",2,0,0,0,0,0,4,,,,,,,,,,,,,"
"12,L1CA22,""LADIES CLASSIC 22, NAVY NAVY"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"13,L1CM02,""LADIES CLASSIC METALIC 2, BLEACH SAND"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"14,M1BL03,""MEN BLACK SERIES 3, COSMIC GREY"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"15,L1EA10,""LADIES ELSA 10, SILVER NAVY"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"16,L1FL01,""LADIES FLO 1, BLACK"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"17,L1FL03,""LADIES FLO 3, LIGHT BROWN"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"18,M1DL01,MEN DALLAS 1 JET BLACK,1,0,0,0,0,0,4,,,,,,,,,,,,,"
"19,L1CA23,LADIES CLASSIC 23 NAVY GREY,2,0,0,0,0,0,4,,,,,,,,,,,,,"
"20,L1CM04,LADIES CLASSIC METALIC 4 GINGER SNAP,1,0,0,0,0,0,4,,,,,,,,,,,,,"
"21,M1CA31,""MEN CLASSIC 31, BLACK TURQUOISE"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"22,M1SL11,""MEN SLIDE BASIC 11, BLACK"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"23,M1CA24,""MEN CLASSIC 24, NAVY GREY"",2,0,0,0,0,0,4,,,,,,,,,,,,,"
"24,M1ON05,""MEN ONYX 5, TURQUOISE BLACK"",1,0,0,0,0,0,4,,,,,,,,,,,,,"
"25,L1FL05,""LADIES FLO 5, WHITE"",4,0,0,0,0,0,4,,,,,,,,,,,,,"
